Age,Salary,Budget,category,,500
55,16,10000,resort,,1000
30,12,3000,cafe,,2000
33,13,1000,nature,,3000
60,15,2000,nature,,5000
55,29,500,resort,,10000
25,29,2000,art,,
61,6,1000,pub,,
30,15,10000,art,,
53,26,2000,cafe,,
46,25,500,art,,
21,4,10000,cafe,,
45,29,500,fine dining,,
36,21,10000,resort,,
59,7,10000,nature,,
65,6,3000,adventure,,
65,24,5000,art,,
63,22,500,cafe,,
18,1,500,fine dining,,
22,14,5000,nature,,
31,19,2000,cafe,,
47,15,10000,art,,
29,9,5000,cafe,,
25,13,500,cafe,,
51,29,3000,resort,,
30,13,1000,adventure,,
50,5,500,adventure,,
63,8,5000,pub,,
32,28,3000,nature,,
52,9,10000,nature,,
21,19,2000,adventure,,
46,8,2000,fine dining,,
30,5,500,art,,
24,21,3000,adventure,,
42,25,10000,pub,,
59,29,5000,pub,,
52,19,5000,fine dining,,
44,7,1000,art,,
60,10,1000,resort,,
60,10,2000,pub,,
64,11,500,fine dining,,
25,9,2000,nature,,
61,13,5000,cafe,,
43,12,500,pub,,
42,17,500,art,,
51,8,500,cafe,,
18,2,10000,adventure,,
56,19,2000,pub,,
30,18,1000,fine dining,,
64,13,2000,pub,,
31,28,5000,pub,,
58,7,10000,art,,
54,27,3000,fine dining,,
30,25,500,cafe,,
62,15,500,pub,,
38,30,1000,nature,,
58,25,2000,nature,,
29,8,3000,fine dining,,
33,5,2000,cafe,,
59,25,1000,art,,
20,29,2000,art,,
63,7,10000,pub,,
21,4,500,fine dining,,
29,15,1000,fine dining,,
24,25,3000,resort,,
36,30,500,cafe,,
35,13,1000,cafe,,
21,9,5000,fine dining,,
58,13,10000,cafe,,
18,2,3000,adventure,,
65,26,10000,resort,,
18,2,3000,resort,,
53,18,5000,resort,,
56,20,10000,fine dining,,
47,10,10000,fine dining,,
63,7,3000,pub,,
38,28,1000,cafe,,
28,23,500,nature,,
49,10,2000,cafe,,
53,26,2000,cafe,,
55,4,10000,art,,
34,29,3000,nature,,
29,16,1000,pub,,
18,2,500,nature,,
56,9,2000,resort,,
35,9,10000,cafe,,
64,4,2000,pub,,
33,28,2000,nature,,
34,28,3000,adventure,,
52,25,3000,fine dining,,
50,16,3000,resort,,
51,19,500,nature,,
62,10,1000,nature,,
34,16,1000,cafe,,
30,8,1000,fine dining,,
48,20,2000,nature,,
32,29,10000,resort,,
41,9,5000,fine dining,,
27,17,10000,pub,,
47,30,500,resort,,
63,6,1000,cafe,,
57,7,3000,resort,,
44,17,3000,nature,,
60,25,2000,resort,,
26,20,2000,cafe,,
24,29,3000,fine dining,,
47,6,1000,adventure,,
58,9,3000,adventure,,
61,19,3000,fine dining,,
32,16,10000,cafe,,
33,5,10000,cafe,,
24,21,10000,resort,,
53,30,10000,resort,,
34,24,10000,cafe,,
20,4,1000,nature,,
20,29,500,nature,,
21,18,10000,resort,,
44,23,10000,pub,,
25,21,1000,resort,,
64,18,3000,nature,,
61,28,5000,resort,,
51,18,5000,art,,
46,14,3000,adventure,,
40,30,1000,cafe,,
30,11,3000,pub,,
40,21,10000,resort,,
45,10,3000,fine dining,,
47,24,500,nature,,
63,18,1000,fine dining,,
22,18,1000,nature,,
51,22,500,pub,,
22,23,1000,resort,,
37,18,3000,art,,
20,4,1000,nature,,
29,5,500,art,,
58,19,500,resort,,
27,23,1000,fine dining,,
27,25,2000,resort,,
34,15,1000,fine dining,,
58,28,3000,adventure,,
35,9,2000,cafe,,
26,19,5000,fine dining,,
58,24,10000,adventure,,
64,11,10000,art,,
21,8,10000,fine dining,,
30,12,5000,resort,,
18,1,500,cafe,,
62,11,10000,cafe,,
30,15,2000,adventure,,
49,28,3000,nature,,
53,15,500,cafe,,
33,5,3000,adventure,,
32,6,5000,pub,,
42,22,2000,art,,
37,4,500,adventure,,
50,23,2000,art,,
25,22,3000,pub,,
19,1,10000,adventure,,
32,20,3000,art,,
27,10,3000,pub,,
29,27,3000,pub,,
50,9,1000,art,,
52,4,5000,fine dining,,
46,21,1000,cafe,,
49,27,3000,fine dining,,
65,24,2000,nature,,
26,28,10000,cafe,,
38,15,10000,cafe,,
19,2,2000,adventure,,
21,30,5000,fine dining,,
42,30,1000,cafe,,
31,23,5000,cafe,,
60,25,1000,art,,
20,23,10000,fine dining,,
23,25,5000,nature,,
53,24,5000,cafe,,
39,8,3000,pub,,
62,7,1000,resort,,
21,25,1000,art,,
32,8,500,fine dining,,
20,27,5000,pub,,
46,18,1000,fine dining,,
42,18,1000,resort,,
29,6,10000,cafe,,
22,11,5000,pub,,
41,23,5000,art,,
59,21,3000,art,,
43,27,3000,cafe,,
45,23,2000,cafe,,
19,1,3000,cafe,,
35,15,1000,art,,
64,25,500,fine dining,,
24,26,3000,cafe,,
23,26,1000,pub,,
57,6,2000,resort,,
40,20,2000,cafe,,
48,27,2000,cafe,,
27,20,1000,resort,,
45,30,10000,resort,,
39,9,10000,cafe,,
43,29,2000,fine dining,,
35,8,10000,cafe,,
29,12,1000,resort,,
35,17,2000,art,,
62,27,5000,cafe,,
22,9,1000,nature,,
45,5,10000,resort,,
35,23,3000,art,,
50,7,5000,art,,
19,2,3000,pub,,
28,13,3000,nature,,
55,10,500,fine dining,,
46,21,3000,pub,,
39,28,5000,pub,,
30,19,5000,cafe,,
26,10,3000,resort,,
34,17,10000,pub,,
23,22,500,fine dining,,
32,4,500,cafe,,
25,4,1000,pub,,
57,23,1000,pub,,
37,5,500,resort,,
31,19,3000,nature,,
37,27,10000,cafe,,
28,23,500,fine dining,,
40,4,3000,art,,
57,9,3000,cafe,,
19,2,500,nature,,
18,1,3000,cafe,,
47,23,500,adventure,,
22,6,10000,fine dining,,
51,4,5000,cafe,,
41,30,2000,cafe,,
63,10,2000,cafe,,
25,13,1000,adventure,,
29,12,1000,art,,
64,10,5000,fine dining,,
40,28,3000,resort,,
36,26,2000,pub,,
36,20,1000,art,,
62,22,500,cafe,,
39,8,3000,fine dining,,
33,18,5000,fine dining,,
18,1,10000,adventure,,
35,19,5000,art,,
50,21,1000,fine dining,,
39,18,2000,nature,,
58,20,500,art,,
61,20,10000,cafe,,
37,4,2000,nature,,
23,26,2000,cafe,,
56,25,1000,fine dining,,
37,6,500,fine dining,,
36,8,1000,art,,
64,27,5000,nature,,
51,10,3000,cafe,,
65,12,1000,pub,,
23,8,1000,resort,,
27,11,1000,cafe,,
34,5,1000,nature,,
34,19,1000,art,,
34,13,1000,nature,,
25,13,10000,cafe,,
62,23,2000,pub,,
58,30,5000,cafe,,
55,26,10000,cafe,,
19,2,5000,pub,,
25,26,5000,fine dining,,
48,23,3000,adventure,,
44,5,3000,nature,,
65,12,1000,cafe,,
25,14,3000,pub,,
62,5,10000,pub,,
54,6,3000,resort,,
22,9,5000,adventure,,
63,16,5000,fine dining,,
57,19,500,cafe,,
40,10,3000,art,,
61,20,500,resort,,
35,27,500,nature,,
33,28,5000,cafe,,
30,20,10000,resort,,
18,2,10000,nature,,
53,6,10000,cafe,,
33,22,1000,adventure,,
37,26,2000,fine dining,,
19,2,500,adventure,,
20,18,5000,resort,,
31,18,5000,resort,,
62,27,2000,art,,
46,28,2000,adventure,,
41,20,500,nature,,
48,10,1000,pub,,
22,29,2000,art,,
52,30,3000,cafe,,
64,18,5000,resort,,
27,7,3000,resort,,
54,28,500,art,,
33,29,2000,pub,,
54,17,500,resort,,
46,20,5000,pub,,
29,13,1000,cafe,,
20,17,5000,nature,,
57,27,500,art,,
41,25,10000,cafe,,
45,27,500,art,,
33,9,500,art,,
29,16,5000,resort,,
24,11,2000,cafe,,
49,28,3000,cafe,,
33,28,1000,nature,,
22,5,1000,resort,,
58,12,1000,art,,
20,6,500,art,,
55,17,5000,nature,,
60,24,5000,nature,,
29,28,500,fine dining,,
24,21,5000,fine dining,,
48,7,3000,cafe,,
39,16,5000,adventure,,
52,5,5000,art,,
23,14,500,cafe,,
52,29,3000,cafe,,
59,21,1000,nature,,
